Date;Time;NO2(GT);PT08.S4(NO2)
08.06.2004;06.00.00;69;1745
08.06.2004;07.00.00;100;2144
08.06.2004;08.00.00;125;2746
08.06.2004;09.00.00;174;2367
08.06.2004;10.00.00;171;2049
08.06.2004;11.00.00;149;1925
08.06.2004;12.00.00;124;1902
08.06.2004;13.00.00;119;1806
08.06.2004;14.00.00;130;1875
08.06.2004;15.00.00;143;1793
08.06.2004;16.00.00;-200;1723
08.06.2004;17.00.00;183;2066
08.06.2004;18.00.00;161;2144
08.06.2004;19.00.00;170;2151
08.06.2004;20.00.00;143;2090
08.06.2004;21.00.00;123;1894
08.06.2004;22.00.00;89;1739
08.06.2004;23.00.00;67;1647
09.06.2004;00.00.00;81;1753
09.06.2004;01.00.00;54;1644
09.06.2004;02.00.00;57;1609
09.06.2004;03.00.00;-200;1517
09.06.2004;04.00.00;51;1501
09.06.2004;05.00.00;58;1525
09.06.2004;06.00.00;69;1675
09.06.2004;07.00.00;107;2214
09.06.2004;08.00.00;151;2691
09.06.2004;09.00.00;146;1987
09.06.2004;10.00.00;165;2059
09.06.2004;11.00.00;159;1972
09.06.2004;12.00.00;174;2000
09.06.2004;13.00.00;167;1937
09.06.2004;14.00.00;137;1761
09.06.2004;15.00.00;116;1665
09.06.2004;16.00.00;125;1610
09.06.2004;17.00.00;194;2008
09.06.2004;18.00.00;222;2288
09.06.2004;19.00.00;206;2195
09.06.2004;20.00.00;162;2019
09.06.2004;21.00.00;132;1894
09.06.2004;22.00.00;107;1763
09.06.2004;23.00.00;84;1654
10.06.2004;00.00.00;61;1607
10.06.2004;01.00.00;42;1527
10.06.2004;02.00.00;66;1598
10.06.2004;03.00.00;-200;1498
10.06.2004;04.00.00;50;1488
10.06.2004;05.00.00;76;1607
10.06.2004;06.00.00;78;1711
10.06.2004;07.00.00;104;2087
10.06.2004;08.00.00;139;2525
10.06.2004;09.00.00;166;2316
10.06.2004;10.00.00;151;1981
10.06.2004;11.00.00;134;1868
10.06.2004;12.00.00;148;1935
10.06.2004;13.00.00;126;1893
10.06.2004;14.00.00;144;1944
10.06.2004;15.00.00;133;1789
10.06.2004;16.00.00;139;1792
10.06.2004;17.00.00;178;2054
10.06.2004;18.00.00;206;2183
10.06.2004;19.00.00;211;2183
10.06.2004;20.00.00;180;2146
10.06.2004;21.00.00;116;1758
10.06.2004;22.00.00;118;1826
10.06.2004;23.00.00;115;1813
11.06.2004;00.00.00;96;1710
11.06.2004;01.00.00;86;1628
11.06.2004;02.00.00;65;1435
11.06.2004;03.00.00;-200;1403
11.06.2004;04.00.00;53;1407
11.06.2004;05.00.00;74;1491
11.06.2004;06.00.00;69;1608
11.06.2004;07.00.00;131;2264
11.06.2004;08.00.00;134;2397
11.06.2004;09.00.00;148;2104
11.06.2004;10.00.00;-200;1774
11.06.2004;11.00.00;-200;1734
11.06.2004;12.00.00;111;1759
11.06.2004;13.00.00;110;1769
11.06.2004;14.00.00;110;1689
11.06.2004;15.00.00;116;1654
11.06.2004;16.00.00;120;1668
11.06.2004;17.00.00;142;1691
11.06.2004;18.00.00;146;1833
11.06.2004;19.00.00;153;1863
11.06.2004;20.00.00;158;1851
11.06.2004;21.00.00;140;1731
11.06.2004;22.00.00;127;1683
11.06.2004;23.00.00;97;1430
12.06.2004;00.00.00;91;1543
12.06.2004;01.00.00;68;1453
12.06.2004;02.00.00;52;1368
12.06.2004;03.00.00;-200;1349
12.06.2004;04.00.00;58;1414
12.06.2004;05.00.00;78;1524
12.06.2004;06.00.00;61;1489
12.06.2004;07.00.00;64;1451
12.06.2004;08.00.00;81;1622
12.06.2004;09.00.00;92;1789
12.06.2004;10.00.00;101;1823
12.06.2004;11.00.00;96;1724
12.06.2004;12.00.00;101;1700
12.06.2004;13.00.00;91;1658
12.06.2004;14.00.00;68;1573
12.06.2004;15.00.00;76;1683
12.06.2004;16.00.00;84;1678
12.06.2004;17.00.00;76;1605
12.06.2004;18.00.00;61;1599
12.06.2004;19.00.00;52;1601
12.06.2004;20.00.00;59;1618
12.06.2004;21.00.00;89;1806
12.06.2004;22.00.00;113;1860
12.06.2004;23.00.00;112;1870
13.06.2004;00.00.00;89;1729
13.06.2004;01.00.00;53;1620
13.06.2004;02.00.00;36;1500
13.06.2004;03.00.00;-200;1561
13.06.2004;04.00.00;39;1511
13.06.2004;05.00.00;33;1444
13.06.2004;06.00.00;37;1347
13.06.2004;07.00.00;36;1322
13.06.2004;08.00.00;42;1287
13.06.2004;09.00.00;52;1286
13.06.2004;10.00.00;60;1307
13.06.2004;11.00.00;74;1325
13.06.2004;12.00.00;65;1302
13.06.2004;13.00.00;52;1303
13.06.2004;14.00.00;40;1306
13.06.2004;15.00.00;49;1350
13.06.2004;16.00.00;56;1379
13.06.2004;17.00.00;59;1387
13.06.2004;18.00.00;68;1364
13.06.2004;19.00.00;72;1378
13.06.2004;20.00.00;78;1388
13.06.2004;21.00.00;71;1403
13.06.2004;22.00.00;54;1337
13.06.2004;23.00.00;57;1351
14.06.2004;00.00.00;45;1311
14.06.2004;01.00.00;30;1261
14.06.2004;02.00.00;16;1235
14.06.2004;03.00.00;-200;1227
14.06.2004;04.00.00;18;1256
14.06.2004;05.00.00;28;1301
14.06.2004;06.00.00;62;1483
14.06.2004;07.00.00;92;1584
14.06.2004;08.00.00;96;1665
14.06.2004;09.00.00;87;1561
14.06.2004;10.00.00;84;1613
14.06.2004;11.00.00;73;1538
14.06.2004;12.00.00;72;1544
14.06.2004;13.00.00;68;1585
14.06.2004;14.00.00;62;1449
14.06.2004;15.00.00;70;1550
14.06.2004;16.00.00;83;1563
14.06.2004;17.00.00;92;1820
14.06.2004;18.00.00;103;1726
14.06.2004;19.00.00;82;1583
14.06.2004;20.00.00;74;1531
14.06.2004;21.00.00;67;1471
14.06.2004;22.00.00;74;1487
14.06.2004;23.00.00;72;1514
15.06.2004;00.00.00;79;1532
15.06.2004;01.00.00;43;1400
15.06.2004;02.00.00;33;1335
15.06.2004;03.00.00;-200;1321
15.06.2004;04.00.00;38;1392
15.06.2004;05.00.00;51;1450
15.06.2004;06.00.00;69;1651
15.06.2004;07.00.00;116;2319
15.06.2004;08.00.00;119;2244
15.06.2004;09.00.00;96;1710
15.06.2004;10.00.00;109;1763
15.06.2004;11.00.00;115;1928
15.06.2004;12.00.00;118;1863
15.06.2004;13.00.00;118;1745
15.06.2004;14.00.00;112;1698
15.06.2004;15.00.00;140;1808
15.06.2004;16.00.00;137;1852
15.06.2004;17.00.00;143;1940
15.06.2004;18.00.00;148;1856
15.06.2004;19.00.00;158;2001
15.06.2004;20.00.00;127;1884
15.06.2004;21.00.00;109;1763
15.06.2004;22.00.00;101;1680
15.06.2004;23.00.00;114;1728
16.06.2004;00.00.00;104;1770
16.06.2004;01.00.00;81;1645
16.06.2004;02.00.00;51;1522
16.06.2004;03.00.00;-200;1489
16.06.2004;04.00.00;40;1471
16.06.2004;05.00.00;34;1462
16.06.2004;06.00.00;61;1640
16.06.2004;07.00.00;95;2084
16.06.2004;08.00.00;142;2530
16.06.2004;09.00.00;128;1929
16.06.2004;10.00.00;115;1879
16.06.2004;11.00.00;84;1670
16.06.2004;12.00.00;85;1703
16.06.2004;13.00.00;110;1839
16.06.2004;14.00.00;107;1811
16.06.2004;15.00.00;107;1748
16.06.2004;16.00.00;113;1772
16.06.2004;17.00.00;107;1802
16.06.2004;18.00.00;106;1737
16.06.2004;19.00.00;125;1986
16.06.2004;20.00.00;139;1930
16.06.2004;21.00.00;117;1798
16.06.2004;22.00.00;107;1840
16.06.2004;23.00.00;98;1838
17.06.2004;00.00.00;97;1854
17.06.2004;01.00.00;95;1722
17.06.2004;02.00.00;68;1501
17.06.2004;03.00.00;-200;1522
17.06.2004;04.00.00;51;1479
17.06.2004;05.00.00;44;1473
17.06.2004;06.00.00;77;1735
17.06.2004;07.00.00;100;2241
17.06.2004;08.00.00;125;2385
17.06.2004;09.00.00;154;2128
17.06.2004;10.00.00;125;1705
17.06.2004;11.00.00;117;1696
17.06.2004;12.00.00;105;1728
17.06.2004;13.00.00;103;1697
17.06.2004;14.00.00;106;1682
17.06.2004;15.00.00;107;1657
17.06.2004;16.00.00;102;1684
17.06.2004;17.00.00;124;1936
17.06.2004;18.00.00;133;2082
17.06.2004;19.00.00;125;1907
17.06.2004;20.00.00;124;1883
17.06.2004;21.00.00;97;1675
17.06.2004;22.00.00;94;1724
17.06.2004;23.00.00;120;1983
18.06.2004;00.00.00;105;1751
18.06.2004;01.00.00;81;1592
18.06.2004;02.00.00;43;1467
18.06.2004;03.00.00;-200;1431
18.06.2004;04.00.00;32;1404
18.06.2004;05.00.00;36;1437
18.06.2004;06.00.00;59;1598
18.06.2004;07.00.00;92;1922
18.06.2004;08.00.00;121;2450
18.06.2004;09.00.00;151;2157
18.06.2004;10.00.00;142;1917
18.06.2004;11.00.00;141;1949
18.06.2004;12.00.00;129;1856
18.06.2004;13.00.00;106;1766
18.06.2004;14.00.00;125;1810
18.06.2004;15.00.00;126;1780
18.06.2004;16.00.00;147;1840
18.06.2004;17.00.00;180;1956
18.06.2004;18.00.00;164;1834
18.06.2004;19.00.00;180;2043
18.06.2004;20.00.00;153;1921
18.06.2004;21.00.00;105;1635
18.06.2004;22.00.00;98;1796
18.06.2004;23.00.00;107;1892
19.06.2004;00.00.00;87;1731
19.06.2004;01.00.00;80;1604
19.06.2004;02.00.00;62;1528
19.06.2004;03.00.00;-200;1478
19.06.2004;04.00.00;54;1511
19.06.2004;05.00.00;56;1472
19.06.2004;06.00.00;62;1475
19.06.2004;07.00.00;72;1595
19.06.2004;08.00.00;86;1697
19.06.2004;09.00.00;99;1774
19.06.2004;10.00.00;98;1736
19.06.2004;11.00.00;102;1743
19.06.2004;12.00.00;84;1714
19.06.2004;13.00.00;83;1718
19.06.2004;14.00.00;68;-200
19.06.2004;15.00.00;63;-200
19.06.2004;16.00.00;65;-200
19.06.2004;17.00.00;63;-200
19.06.2004;18.00.00;56;-200
19.06.2004;19.00.00;77;-200
19.06.2004;20.00.00;91;-200
19.06.2004;21.00.00;70;-200
19.06.2004;22.00.00;95;-200
19.06.2004;23.00.00;113;-200
20.06.2004;00.00.00;109;-200
20.06.2004;01.00.00;65;-200
20.06.2004;02.00.00;60;-200
20.06.2004;03.00.00;-200;-200
20.06.2004;04.00.00;62;-200
20.06.2004;05.00.00;60;-200
20.06.2004;06.00.00;65;-200
20.06.2004;07.00.00;55;-200
20.06.2004;08.00.00;66;-200
20.06.2004;09.00.00;67;-200
20.06.2004;10.00.00;64;-200
20.06.2004;11.00.00;59;-200
20.06.2004;12.00.00;59;-200
20.06.2004;13.00.00;36;-200
20.06.2004;14.00.00;35;-200
20.06.2004;15.00.00;54;-200
20.06.2004;16.00.00;71;-200
20.06.2004;17.00.00;86;-200
20.06.2004;18.00.00;114;-200
20.06.2004;19.00.00;105;-200
20.06.2004;20.00.00;87;-200
20.06.2004;21.00.00;85;-200
20.06.2004;22.00.00;91;-200
20.06.2004;23.00.00;108;-200
21.06.2004;00.00.00;99;-200
21.06.2004;01.00.00;83;-200
21.06.2004;02.00.00;36;-200
21.06.2004;03.00.00;-200;-200
21.06.2004;04.00.00;24;1367
21.06.2004;05.00.00;43;1463
21.06.2004;06.00.00;64;1639
21.06.2004;07.00.00;91;1910
21.06.2004;08.00.00;109;2138
21.06.2004;09.00.00;110;1753
21.06.2004;10.00.00;111;1597
21.06.2004;11.00.00;106;1480
21.06.2004;12.00.00;104;1467
21.06.2004;13.00.00;76;1454
21.06.2004;14.00.00;84;1504
21.06.2004;15.00.00;102;1564
21.06.2004;16.00.00;102;1492
21.06.2004;17.00.00;124;1645
21.06.2004;18.00.00;147;1787
21.06.2004;19.00.00;138;1813
21.06.2004;20.00.00;126;1793
21.06.2004;21.00.00;112;1737
21.06.2004;22.00.00;95;1686
21.06.2004;23.00.00;80;1594
22.06.2004;00.00.00;79;1570
22.06.2004;01.00.00;49;1462
22.06.2004;02.00.00;36;1374
22.06.2004;03.00.00;-200;1350
22.06.2004;04.00.00;40;1343
22.06.2004;05.00.00;37;1381
22.06.2004;06.00.00;67;1594
22.06.2004;07.00.00;106;2002
22.06.2004;08.00.00;134;2394
22.06.2004;09.00.00;123;1832
22.06.2004;10.00.00;136;1856
22.06.2004;11.00.00;109;1766
22.06.2004;12.00.00;144;1940
22.06.2004;13.00.00;154;1912
22.06.2004;14.00.00;126;1772
22.06.2004;15.00.00;98;1747
22.06.2004;16.00.00;120;1782
22.06.2004;17.00.00;145;2011
22.06.2004;18.00.00;139;2017
22.06.2004;19.00.00;148;2085
22.06.2004;20.00.00;139;2016
22.06.2004;21.00.00;93;1640
22.06.2004;22.00.00;96;1726
22.06.2004;23.00.00;104;1807
23.06.2004;00.00.00;83;1631
23.06.2004;01.00.00;66;1496
23.06.2004;02.00.00;55;1455
23.06.2004;03.00.00;-200;1405
23.06.2004;04.00.00;37;1402
23.06.2004;05.00.00;40;1396
23.06.2004;06.00.00;51;1656
23.06.2004;07.00.00;117;2210
23.06.2004;08.00.00;110;2046
23.06.2004;09.00.00;136;2090
23.06.2004;10.00.00;152;1944
23.06.2004;11.00.00;119;1790
23.06.2004;12.00.00;106;1762
23.06.2004;13.00.00;101;1711
23.06.2004;14.00.00;110;1786
23.06.2004;15.00.00;124;1854
23.06.2004;16.00.00;137;1825
23.06.2004;17.00.00;159;2030
23.06.2004;18.00.00;152;2075
23.06.2004;19.00.00;166;2134
23.06.2004;20.00.00;163;2118
23.06.2004;21.00.00;121;1829
23.06.2004;22.00.00;125;1897
23.06.2004;23.00.00;120;2023
24.06.2004;00.00.00;103;1978
24.06.2004;01.00.00;64;1793
24.06.2004;02.00.00;44;1645
24.06.2004;03.00.00;-200;1570
24.06.2004;04.00.00;35;1528
24.06.2004;05.00.00;46;1530
24.06.2004;06.00.00;54;1548
24.06.2004;07.00.00;68;1700
24.06.2004;08.00.00;77;1750
24.06.2004;09.00.00;74;1649
24.06.2004;10.00.00;92;1656
24.06.2004;11.00.00;83;1651
24.06.2004;12.00.00;58;1561
24.06.2004;13.00.00;55;1576
24.06.2004;14.00.00;61;1596
24.06.2004;15.00.00;65;1565
24.06.2004;16.00.00;74;1629
24.06.2004;17.00.00;89;1602
24.06.2004;18.00.00;103;1732
24.06.2004;19.00.00;128;1934
24.06.2004;20.00.00;122;1878
24.06.2004;21.00.00;125;2176
24.06.2004;22.00.00;119;1967
24.06.2004;23.00.00;126;2114
25.06.2004;00.00.00;100;1838
25.06.2004;01.00.00;94;1752
25.06.2004;02.00.00;52;1457
25.06.2004;03.00.00;-200;1482
25.06.2004;04.00.00;64;1427
25.06.2004;05.00.00;46;1442
25.06.2004;06.00.00;88;1743
25.06.2004;07.00.00;104;1927
25.06.2004;08.00.00;125;1968
25.06.2004;09.00.00;151;1924
25.06.2004;10.00.00;113;1671
25.06.2004;11.00.00;102;1713
25.06.2004;12.00.00;108;1688
25.06.2004;13.00.00;93;1684
25.06.2004;14.00.00;89;1596
25.06.2004;15.00.00;84;1539
25.06.2004;16.00.00;111;1690
25.06.2004;17.00.00;115;1659
25.06.2004;18.00.00;127;1642
25.06.2004;19.00.00;129;1786
25.06.2004;20.00.00;140;1743
25.06.2004;21.00.00;137;1680
25.06.2004;22.00.00;130;1670
25.06.2004;23.00.00;121;1598
26.06.2004;00.00.00;79;1398
26.06.2004;01.00.00;69;1390
26.06.2004;02.00.00;61;1382
26.06.2004;03.00.00;-200;1409
26.06.2004;04.00.00;58;1321
26.06.2004;05.00.00;58;1314
26.06.2004;06.00.00;70;1466
26.06.2004;07.00.00;104;1680
26.06.2004;08.00.00;109;1773
26.06.2004;09.00.00;129;1791
26.06.2004;10.00.00;144;1734
26.06.2004;11.00.00;101;1508
26.06.2004;12.00.00;90;1540
26.06.2004;13.00.00;86;1523
26.06.2004;14.00.00;69;1446
26.06.2004;15.00.00;65;1481
26.06.2004;16.00.00;73;1565
26.06.2004;17.00.00;73;1567
26.06.2004;18.00.00;78;1599
26.06.2004;19.00.00;98;1726
26.06.2004;20.00.00;99;1686
26.06.2004;21.00.00;83;1645
26.06.2004;22.00.00;88;1747
26.06.2004;23.00.00;117;1938
27.06.2004;00.00.00;97;1830
27.06.2004;01.00.00;75;1750
27.06.2004;02.00.00;53;1638
27.06.2004;03.00.00;-200;1685
27.06.2004;04.00.00;45;1522
27.06.2004;05.00.00;42;1490
27.06.2004;06.00.00;44;1496
27.06.2004;07.00.00;50;1511
27.06.2004;08.00.00;60;1634
27.06.2004;09.00.00;100;1688
27.06.2004;10.00.00;111;1771
27.06.2004;11.00.00;110;1648
27.06.2004;12.00.00;74;1486
27.06.2004;13.00.00;56;1285
27.06.2004;14.00.00;50;1339
27.06.2004;15.00.00;54;1294
27.06.2004;16.00.00;90;1488
27.06.2004;17.00.00;109;1537
27.06.2004;18.00.00;110;1609
27.06.2004;19.00.00;103;1685
27.06.2004;20.00.00;120;1695
27.06.2004;21.00.00;134;1784
27.06.2004;22.00.00;137;1751
27.06.2004;23.00.00;99;1636
28.06.2004;00.00.00;78;1616
28.06.2004;01.00.00;63;1508
28.06.2004;02.00.00;41;1444
28.06.2004;03.00.00;-200;1464
28.06.2004;04.00.00;39;1438
28.06.2004;05.00.00;60;1447
28.06.2004;06.00.00;54;1552
28.06.2004;07.00.00;119;2172
28.06.2004;08.00.00;159;2568
28.06.2004;09.00.00;182;2199
28.06.2004;10.00.00;183;1907
28.06.2004;11.00.00;144;1795
28.06.2004;12.00.00;118;1748
28.06.2004;13.00.00;106;1773
28.06.2004;14.00.00;97;1739
28.06.2004;15.00.00;129;1820
28.06.2004;16.00.00;130;1720
28.06.2004;17.00.00;163;1905
28.06.2004;18.00.00;160;2023
28.06.2004;19.00.00;140;2067
28.06.2004;20.00.00;115;1912
28.06.2004;21.00.00;92;1760
28.06.2004;22.00.00;99;1786
28.06.2004;23.00.00;96;1790
29.06.2004;00.00.00;80;1748
29.06.2004;01.00.00;65;1592
29.06.2004;02.00.00;46;1534
29.06.2004;03.00.00;-200;1480
29.06.2004;04.00.00;57;1519
29.06.2004;05.00.00;54;1504
29.06.2004;06.00.00;62;1634
29.06.2004;07.00.00;102;2316
29.06.2004;08.00.00;140;2622
29.06.2004;09.00.00;121;1963
29.06.2004;10.00.00;132;1968
29.06.2004;11.00.00;122;1870
29.06.2004;12.00.00;148;1955
29.06.2004;13.00.00;133;1963
29.06.2004;14.00.00;130;1825
29.06.2004;15.00.00;141;1912
29.06.2004;16.00.00;172;2040
29.06.2004;17.00.00;198;2132
29.06.2004;18.00.00;181;2268
29.06.2004;19.00.00;202;2332
29.06.2004;20.00.00;120;1979
29.06.2004;21.00.00;115;1994
29.06.2004;22.00.00;112;1929
29.06.2004;23.00.00;97;1985
30.06.2004;00.00.00;100;1954
30.06.2004;01.00.00;47;1681
30.06.2004;02.00.00;44;1683
30.06.2004;03.00.00;-200;1586
30.06.2004;04.00.00;42;1558
30.06.2004;05.00.00;57;1656
30.06.2004;06.00.00;61;1738
30.06.2004;07.00.00;106;1992
30.06.2004;08.00.00;136;2039
30.06.2004;09.00.00;157;2015
30.06.2004;10.00.00;171;2024
30.06.2004;11.00.00;190;1920
30.06.2004;12.00.00;155;1832
30.06.2004;13.00.00;139;1857
30.06.2004;14.00.00;152;1810
30.06.2004;15.00.00;143;1675
30.06.2004;16.00.00;168;1765
30.06.2004;17.00.00;226;2250
30.06.2004;18.00.00;207;2485
30.06.2004;19.00.00;197;2205
30.06.2004;20.00.00;158;2040
30.06.2004;21.00.00;124;1936
30.06.2004;22.00.00;110;1941
30.06.2004;23.00.00;112;1921
01.07.2004;00.00.00;102;1874
01.07.2004;01.00.00;77;1800
01.07.2004;02.00.00;50;1607
01.07.2004;03.00.00;-200;1536
01.07.2004;04.00.00;40;1568
01.07.2004;05.00.00;66;1685
01.07.2004;06.00.00;60;1711
01.07.2004;07.00.00;85;2090
01.07.2004;08.00.00;120;2337
01.07.2004;09.00.00;134;2021
01.07.2004;10.00.00;149;1942
01.07.2004;11.00.00;125;1805
01.07.2004;12.00.00;132;1940
01.07.2004;13.00.00;114;1842
01.07.2004;14.00.00;110;1803
01.07.2004;15.00.00;121;1814
01.07.2004;16.00.00;127;1730
01.07.2004;17.00.00;157;1949
01.07.2004;18.00.00;169;1986
01.07.2004;19.00.00;179;2168
01.07.2004;20.00.00;149;1888
01.07.2004;21.00.00;111;1697
01.07.2004;22.00.00;112;1779
01.07.2004;23.00.00;120;1930
02.07.2004;00.00.00;105;1862
02.07.2004;01.00.00;90;1733
02.07.2004;02.00.00;87;1662
02.07.2004;03.00.00;-200;1501
02.07.2004;04.00.00;54;1513
02.07.2004;05.00.00;61;1500
02.07.2004;06.00.00;63;1629
02.07.2004;07.00.00;102;2077
02.07.2004;08.00.00;149;2559
02.07.2004;09.00.00;147;2052
02.07.2004;10.00.00;158;1952
02.07.2004;11.00.00;112;1745
02.07.2004;12.00.00;108;1810
02.07.2004;13.00.00;120;1771
02.07.2004;14.00.00;117;1732
02.07.2004;15.00.00;119;1735
02.07.2004;16.00.00;149;1681
02.07.2004;17.00.00;174;1647
02.07.2004;18.00.00;163;1691
02.07.2004;19.00.00;161;1729
02.07.2004;20.00.00;154;1688
02.07.2004;21.00.00;124;1588
02.07.2004;22.00.00;122;1693
02.07.2004;23.00.00;119;1643
03.07.2004;00.00.00;131;1738
03.07.2004;01.00.00;84;1528
03.07.2004;02.00.00;77;1461
03.07.2004;03.00.00;-200;1494
03.07.2004;04.00.00;41;1371
03.07.2004;05.00.00;68;1479
03.07.2004;06.00.00;69;1530
03.07.2004;07.00.00;101;1743
03.07.2004;08.00.00;120;1885
03.07.2004;09.00.00;124;1725
03.07.2004;10.00.00;113;1669
03.07.2004;11.00.00;97;1536
03.07.2004;12.00.00;94;1550
03.07.2004;13.00.00;86;1436
03.07.2004;14.00.00;70;1426
03.07.2004;15.00.00;70;1391
03.07.2004;16.00.00;82;1479
03.07.2004;17.00.00;93;1524
03.07.2004;18.00.00;89;1454
03.07.2004;19.00.00;90;1484
03.07.2004;20.00.00;67;1537
03.07.2004;21.00.00;94;1658
03.07.2004;22.00.00;109;1726
03.07.2004;23.00.00;103;1710
04.07.2004;00.00.00;101;1840
04.07.2004;01.00.00;71;1585
04.07.2004;02.00.00;71;1639
04.07.2004;03.00.00;-200;1613
04.07.2004;04.00.00;49;1550
04.07.2004;05.00.00;43;1528
04.07.2004;06.00.00;44;1559
04.07.2004;07.00.00;42;1573
04.07.2004;08.00.00;69;1669
04.07.2004;09.00.00;65;1634
04.07.2004;10.00.00;68;1606
04.07.2004;11.00.00;58;1543
04.07.2004;12.00.00;52;1459
04.07.2004;13.00.00;46;1394
04.07.2004;14.00.00;40;1270
04.07.2004;15.00.00;47;1307
04.07.2004;16.00.00;56;1331
04.07.2004;17.00.00;64;1298
04.07.2004;18.00.00;71;1310
04.07.2004;19.00.00;103;1541
04.07.2004;20.00.00;97;1541
04.07.2004;21.00.00;108;1631
04.07.2004;22.00.00;87;1580
04.07.2004;23.00.00;104;1656
05.07.2004;00.00.00;93;1635
05.07.2004;01.00.00;55;1412
05.07.2004;02.00.00;49;1405
05.07.2004;03.00.00;-200;1400
05.07.2004;04.00.00;56;1422
05.07.2004;05.00.00;43;1387
05.07.2004;06.00.00;57;1521
05.07.2004;07.00.00;80;1815
05.07.2004;08.00.00;134;2311
05.07.2004;09.00.00;157;1901
05.07.2004;10.00.00;175;1779
05.07.2004;11.00.00;147;1638
05.07.2004;12.00.00;140;1633
05.07.2004;13.00.00;137;1641
05.07.2004;14.00.00;123;1580
05.07.2004;15.00.00;138;1671
05.07.2004;16.00.00;132;1624
05.07.2004;17.00.00;174;1942
05.07.2004;18.00.00;203;2072
05.07.2004;19.00.00;176;1906
05.07.2004;20.00.00;125;1768
05.07.2004;21.00.00;98;1684
05.07.2004;22.00.00;103;1757
05.07.2004;23.00.00;104;1674
06.07.2004;00.00.00;105;1694
06.07.2004;01.00.00;75;1497
06.07.2004;02.00.00;60;1510
06.07.2004;03.00.00;-200;1477
06.07.2004;04.00.00;36;1410
06.07.2004;05.00.00;66;1540
06.07.2004;06.00.00;97;1780
06.07.2004;07.00.00;115;2196
06.07.2004;08.00.00;145;2460
06.07.2004;09.00.00;162;1954
06.07.2004;10.00.00;147;1835
06.07.2004;11.00.00;132;1818
06.07.2004;12.00.00;179;1953
06.07.2004;13.00.00;174;1892
06.07.2004;14.00.00;132;1622
06.07.2004;15.00.00;151;1604
06.07.2004;16.00.00;168;1674
06.07.2004;17.00.00;192;1845
06.07.2004;18.00.00;194;1946
06.07.2004;19.00.00;155;1864
06.07.2004;20.00.00;159;1975
06.07.2004;21.00.00;125;1717
06.07.2004;22.00.00;108;1668
06.07.2004;23.00.00;110;1737
07.07.2004;00.00.00;99;1771
07.07.2004;01.00.00;95;1609
07.07.2004;02.00.00;69;1463
07.07.2004;03.00.00;-200;1377
07.07.2004;04.00.00;45;1362
07.07.2004;05.00.00;53;1432
07.07.2004;06.00.00;88;1673
07.07.2004;07.00.00;136;2305
07.07.2004;08.00.00;141;2275
07.07.2004;09.00.00;189;2081
07.07.2004;10.00.00;166;1707
07.07.2004;11.00.00;154;1623
07.07.2004;12.00.00;149;1640
07.07.2004;13.00.00;142;1683
07.07.2004;14.00.00;130;1629
07.07.2004;15.00.00;121;1555
07.07.2004;16.00.00;116;1546
07.07.2004;17.00.00;177;1925
07.07.2004;18.00.00;233;1903
07.07.2004;19.00.00;223;2199
07.07.2004;20.00.00;184;2005
07.07.2004;21.00.00;165;2017
07.07.2004;22.00.00;132;1880
07.07.2004;23.00.00;122;1827
08.07.2004;00.00.00;88;1627
08.07.2004;01.00.00;79;1532
08.07.2004;02.00.00;60;1507
08.07.2004;03.00.00;-200;1443
08.07.2004;04.00.00;60;1485
08.07.2004;05.00.00;74;1503
08.07.2004;06.00.00;62;1511
08.07.2004;07.00.00;115;1914
08.07.2004;08.00.00;119;2082
08.07.2004;09.00.00;155;1919
08.07.2004;10.00.00;162;1903
08.07.2004;11.00.00;189;1934
08.07.2004;12.00.00;115;1538
08.07.2004;13.00.00;109;1525
08.07.2004;14.00.00;108;1609
08.07.2004;15.00.00;145;1775
08.07.2004;16.00.00;167;1807
08.07.2004;17.00.00;200;1891
08.07.2004;18.00.00;178;2021
08.07.2004;19.00.00;206;2371
08.07.2004;20.00.00;192;2113
08.07.2004;21.00.00;137;1900
08.07.2004;22.00.00;128;1834
08.07.2004;23.00.00;121;1934
09.07.2004;00.00.00;136;1996
09.07.2004;01.00.00;109;1905
09.07.2004;02.00.00;74;1585
09.07.2004;03.00.00;-200;1458
09.07.2004;04.00.00;40;1432
09.07.2004;05.00.00;61;1509
09.07.2004;06.00.00;83;1636
09.07.2004;07.00.00;129;1989
09.07.2004;08.00.00;-200;1877
09.07.2004;09.00.00;115;1640
09.07.2004;10.00.00;130;1527
09.07.2004;11.00.00;137;1546
09.07.2004;12.00.00;116;1544
09.07.2004;13.00.00;129;1545
09.07.2004;14.00.00;117;1527
09.07.2004;15.00.00;138;1577
09.07.2004;16.00.00;139;1554
09.07.2004;17.00.00;180;1602
09.07.2004;18.00.00;162;1579
09.07.2004;19.00.00;158;1738
09.07.2004;20.00.00;162;1672
09.07.2004;21.00.00;112;1614
09.07.2004;22.00.00;104;1648
09.07.2004;23.00.00;125;1719
10.07.2004;00.00.00;127;1792
10.07.2004;01.00.00;95;1661
10.07.2004;02.00.00;70;1539
10.07.2004;03.00.00;-200;1405
10.07.2004;04.00.00;33;1406
10.07.2004;05.00.00;45;1475
10.07.2004;06.00.00;56;1471
10.07.2004;07.00.00;74;1551
10.07.2004;08.00.00;84;1572
10.07.2004;09.00.00;93;1612
10.07.2004;10.00.00;97;1511
10.07.2004;11.00.00;83;1473
