Date;Time;NMHC(GT)
30.05.2004;14.00.00;-200
30.05.2004;15.00.00;-200
30.05.2004;16.00.00;-200
30.05.2004;17.00.00;-200
30.05.2004;18.00.00;-200
30.05.2004;19.00.00;-200
30.05.2004;20.00.00;-200
30.05.2004;21.00.00;-200
30.05.2004;22.00.00;-200
30.05.2004;23.00.00;-200
31.05.2004;00.00.00;-200
31.05.2004;01.00.00;-200
31.05.2004;02.00.00;-200
31.05.2004;03.00.00;-200
31.05.2004;04.00.00;-200
31.05.2004;05.00.00;-200
31.05.2004;06.00.00;-200
31.05.2004;07.00.00;-200
31.05.2004;08.00.00;-200
31.05.2004;09.00.00;-200
31.05.2004;10.00.00;-200
31.05.2004;11.00.00;-200
31.05.2004;12.00.00;-200
31.05.2004;13.00.00;-200
31.05.2004;14.00.00;-200
31.05.2004;15.00.00;-200
31.05.2004;16.00.00;-200
31.05.2004;17.00.00;-200
31.05.2004;18.00.00;-200
31.05.2004;19.00.00;-200
31.05.2004;20.00.00;-200
31.05.2004;21.00.00;-200
31.05.2004;22.00.00;-200
31.05.2004;23.00.00;-200
01.06.2004;00.00.00;-200
01.06.2004;01.00.00;-200
01.06.2004;02.00.00;-200
01.06.2004;03.00.00;-200
01.06.2004;04.00.00;-200
01.06.2004;05.00.00;-200
01.06.2004;06.00.00;-200
01.06.2004;07.00.00;-200
01.06.2004;08.00.00;-200
01.06.2004;09.00.00;-200
01.06.2004;10.00.00;-200
01.06.2004;11.00.00;-200
01.06.2004;12.00.00;-200
01.06.2004;13.00.00;-200
01.06.2004;14.00.00;-200
01.06.2004;15.00.00;-200
01.06.2004;16.00.00;-200
01.06.2004;17.00.00;-200
01.06.2004;18.00.00;-200
01.06.2004;19.00.00;-200
01.06.2004;20.00.00;-200
01.06.2004;21.00.00;-200
01.06.2004;22.00.00;-200
01.06.2004;23.00.00;-200
02.06.2004;00.00.00;-200
02.06.2004;01.00.00;-200
02.06.2004;02.00.00;-200
02.06.2004;03.00.00;-200
02.06.2004;04.00.00;-200
02.06.2004;05.00.00;-200
02.06.2004;06.00.00;-200
02.06.2004;07.00.00;-200
02.06.2004;08.00.00;-200
02.06.2004;09.00.00;-200
02.06.2004;10.00.00;-200
02.06.2004;11.00.00;-200
02.06.2004;12.00.00;-200
02.06.2004;13.00.00;-200
02.06.2004;14.00.00;-200
02.06.2004;15.00.00;-200
02.06.2004;16.00.00;-200
02.06.2004;17.00.00;-200
02.06.2004;18.00.00;-200
02.06.2004;19.00.00;-200
02.06.2004;20.00.00;-200
02.06.2004;21.00.00;-200
02.06.2004;22.00.00;-200
02.06.2004;23.00.00;-200
03.06.2004;00.00.00;-200
03.06.2004;01.00.00;-200
03.06.2004;02.00.00;-200
03.06.2004;03.00.00;-200
03.06.2004;04.00.00;-200
03.06.2004;05.00.00;-200
03.06.2004;06.00.00;-200
03.06.2004;07.00.00;-200
03.06.2004;08.00.00;-200
03.06.2004;09.00.00;-200
03.06.2004;10.00.00;-200
03.06.2004;11.00.00;-200
03.06.2004;12.00.00;-200
03.06.2004;13.00.00;-200
03.06.2004;14.00.00;-200
03.06.2004;15.00.00;-200
03.06.2004;16.00.00;-200
03.06.2004;17.00.00;-200
03.06.2004;18.00.00;-200
03.06.2004;19.00.00;-200
03.06.2004;20.00.00;-200
03.06.2004;21.00.00;-200
03.06.2004;22.00.00;-200
03.06.2004;23.00.00;-200
04.06.2004;00.00.00;-200
04.06.2004;01.00.00;-200
04.06.2004;02.00.00;-200
04.06.2004;03.00.00;-200
04.06.2004;04.00.00;-200
04.06.2004;05.00.00;-200
04.06.2004;06.00.00;-200
04.06.2004;07.00.00;-200
04.06.2004;08.00.00;-200
04.06.2004;09.00.00;-200
04.06.2004;10.00.00;-200
04.06.2004;11.00.00;-200
04.06.2004;12.00.00;-200
04.06.2004;13.00.00;-200
04.06.2004;14.00.00;-200
04.06.2004;15.00.00;-200
04.06.2004;16.00.00;-200
04.06.2004;17.00.00;-200
04.06.2004;18.00.00;-200
04.06.2004;19.00.00;-200
04.06.2004;20.00.00;-200
04.06.2004;21.00.00;-200
04.06.2004;22.00.00;-200
04.06.2004;23.00.00;-200
05.06.2004;00.00.00;-200
05.06.2004;01.00.00;-200
05.06.2004;02.00.00;-200
05.06.2004;03.00.00;-200
05.06.2004;04.00.00;-200
05.06.2004;05.00.00;-200
05.06.2004;06.00.00;-200
05.06.2004;07.00.00;-200
05.06.2004;08.00.00;-200
05.06.2004;09.00.00;-200
05.06.2004;10.00.00;-200
05.06.2004;11.00.00;-200
05.06.2004;12.00.00;-200
05.06.2004;13.00.00;-200
05.06.2004;14.00.00;-200
05.06.2004;15.00.00;-200
05.06.2004;16.00.00;-200
05.06.2004;17.00.00;-200
05.06.2004;18.00.00;-200
05.06.2004;19.00.00;-200
05.06.2004;20.00.00;-200
05.06.2004;21.00.00;-200
05.06.2004;22.00.00;-200
05.06.2004;23.00.00;-200
06.06.2004;00.00.00;-200
06.06.2004;01.00.00;-200
06.06.2004;02.00.00;-200
06.06.2004;03.00.00;-200
06.06.2004;04.00.00;-200
06.06.2004;05.00.00;-200
06.06.2004;06.00.00;-200
06.06.2004;07.00.00;-200
06.06.2004;08.00.00;-200
06.06.2004;09.00.00;-200
06.06.2004;10.00.00;-200
06.06.2004;11.00.00;-200
06.06.2004;12.00.00;-200
06.06.2004;13.00.00;-200
06.06.2004;14.00.00;-200
06.06.2004;15.00.00;-200
06.06.2004;16.00.00;-200
06.06.2004;17.00.00;-200
06.06.2004;18.00.00;-200
06.06.2004;19.00.00;-200
06.06.2004;20.00.00;-200
06.06.2004;21.00.00;-200
06.06.2004;22.00.00;-200
06.06.2004;23.00.00;-200
07.06.2004;00.00.00;-200
07.06.2004;01.00.00;-200
07.06.2004;02.00.00;-200
07.06.2004;03.00.00;-200
07.06.2004;04.00.00;-200
07.06.2004;05.00.00;-200
07.06.2004;06.00.00;-200
07.06.2004;07.00.00;-200
07.06.2004;08.00.00;-200
07.06.2004;09.00.00;-200
07.06.2004;10.00.00;-200
07.06.2004;11.00.00;-200
07.06.2004;12.00.00;-200
07.06.2004;13.00.00;-200
07.06.2004;14.00.00;-200
07.06.2004;15.00.00;-200
07.06.2004;16.00.00;-200
07.06.2004;17.00.00;-200
07.06.2004;18.00.00;-200
07.06.2004;19.00.00;-200
07.06.2004;20.00.00;-200
07.06.2004;21.00.00;-200
07.06.2004;22.00.00;-200
07.06.2004;23.00.00;-200
08.06.2004;00.00.00;-200
08.06.2004;01.00.00;-200
08.06.2004;02.00.00;-200
08.06.2004;03.00.00;-200
08.06.2004;04.00.00;-200
08.06.2004;05.00.00;-200
08.06.2004;06.00.00;-200
08.06.2004;07.00.00;-200
08.06.2004;08.00.00;-200
08.06.2004;09.00.00;-200
08.06.2004;10.00.00;-200
08.06.2004;11.00.00;-200
08.06.2004;12.00.00;-200
08.06.2004;13.00.00;-200
08.06.2004;14.00.00;-200
08.06.2004;15.00.00;-200
08.06.2004;16.00.00;-200
08.06.2004;17.00.00;-200
08.06.2004;18.00.00;-200
08.06.2004;19.00.00;-200
08.06.2004;20.00.00;-200
08.06.2004;21.00.00;-200
08.06.2004;22.00.00;-200
08.06.2004;23.00.00;-200
09.06.2004;00.00.00;-200
09.06.2004;01.00.00;-200
09.06.2004;02.00.00;-200
09.06.2004;03.00.00;-200
09.06.2004;04.00.00;-200
09.06.2004;05.00.00;-200
09.06.2004;06.00.00;-200
09.06.2004;07.00.00;-200
09.06.2004;08.00.00;-200
09.06.2004;09.00.00;-200
09.06.2004;10.00.00;-200
09.06.2004;11.00.00;-200
09.06.2004;12.00.00;-200
09.06.2004;13.00.00;-200
09.06.2004;14.00.00;-200
09.06.2004;15.00.00;-200
09.06.2004;16.00.00;-200
09.06.2004;17.00.00;-200
09.06.2004;18.00.00;-200
09.06.2004;19.00.00;-200
09.06.2004;20.00.00;-200
09.06.2004;21.00.00;-200
09.06.2004;22.00.00;-200
09.06.2004;23.00.00;-200
10.06.2004;00.00.00;-200
10.06.2004;01.00.00;-200
10.06.2004;02.00.00;-200
10.06.2004;03.00.00;-200
10.06.2004;04.00.00;-200
10.06.2004;05.00.00;-200
10.06.2004;06.00.00;-200
10.06.2004;07.00.00;-200
10.06.2004;08.00.00;-200
10.06.2004;09.00.00;-200
10.06.2004;10.00.00;-200
10.06.2004;11.00.00;-200
10.06.2004;12.00.00;-200
10.06.2004;13.00.00;-200
10.06.2004;14.00.00;-200
10.06.2004;15.00.00;-200
10.06.2004;16.00.00;-200
10.06.2004;17.00.00;-200
10.06.2004;18.00.00;-200
10.06.2004;19.00.00;-200
10.06.2004;20.00.00;-200
10.06.2004;21.00.00;-200
10.06.2004;22.00.00;-200
10.06.2004;23.00.00;-200
11.06.2004;00.00.00;-200
11.06.2004;01.00.00;-200
11.06.2004;02.00.00;-200
11.06.2004;03.00.00;-200
11.06.2004;04.00.00;-200
11.06.2004;05.00.00;-200
11.06.2004;06.00.00;-200
11.06.2004;07.00.00;-200
11.06.2004;08.00.00;-200
11.06.2004;09.00.00;-200
11.06.2004;10.00.00;-200
11.06.2004;11.00.00;-200
11.06.2004;12.00.00;-200
11.06.2004;13.00.00;-200
11.06.2004;14.00.00;-200
11.06.2004;15.00.00;-200
11.06.2004;16.00.00;-200
11.06.2004;17.00.00;-200
11.06.2004;18.00.00;-200
11.06.2004;19.00.00;-200
11.06.2004;20.00.00;-200
11.06.2004;21.00.00;-200
11.06.2004;22.00.00;-200
11.06.2004;23.00.00;-200
12.06.2004;00.00.00;-200
12.06.2004;01.00.00;-200
12.06.2004;02.00.00;-200
12.06.2004;03.00.00;-200
12.06.2004;04.00.00;-200
12.06.2004;05.00.00;-200
12.06.2004;06.00.00;-200
12.06.2004;07.00.00;-200
12.06.2004;08.00.00;-200
12.06.2004;09.00.00;-200
12.06.2004;10.00.00;-200
12.06.2004;11.00.00;-200
12.06.2004;12.00.00;-200
12.06.2004;13.00.00;-200
12.06.2004;14.00.00;-200
12.06.2004;15.00.00;-200
12.06.2004;16.00.00;-200
12.06.2004;17.00.00;-200
12.06.2004;18.00.00;-200
12.06.2004;19.00.00;-200
12.06.2004;20.00.00;-200
12.06.2004;21.00.00;-200
12.06.2004;22.00.00;-200
12.06.2004;23.00.00;-200
13.06.2004;00.00.00;-200
13.06.2004;01.00.00;-200
13.06.2004;02.00.00;-200
13.06.2004;03.00.00;-200
13.06.2004;04.00.00;-200
13.06.2004;05.00.00;-200
13.06.2004;06.00.00;-200
13.06.2004;07.00.00;-200
13.06.2004;08.00.00;-200
13.06.2004;09.00.00;-200
13.06.2004;10.00.00;-200
13.06.2004;11.00.00;-200
13.06.2004;12.00.00;-200
13.06.2004;13.00.00;-200
13.06.2004;14.00.00;-200
13.06.2004;15.00.00;-200
13.06.2004;16.00.00;-200
13.06.2004;17.00.00;-200
13.06.2004;18.00.00;-200
13.06.2004;19.00.00;-200
13.06.2004;20.00.00;-200
13.06.2004;21.00.00;-200
13.06.2004;22.00.00;-200
13.06.2004;23.00.00;-200
14.06.2004;00.00.00;-200
14.06.2004;01.00.00;-200
14.06.2004;02.00.00;-200
14.06.2004;03.00.00;-200
14.06.2004;04.00.00;-200
14.06.2004;05.00.00;-200
14.06.2004;06.00.00;-200
14.06.2004;07.00.00;-200
14.06.2004;08.00.00;-200
14.06.2004;09.00.00;-200
14.06.2004;10.00.00;-200
14.06.2004;11.00.00;-200
14.06.2004;12.00.00;-200
14.06.2004;13.00.00;-200
14.06.2004;14.00.00;-200
14.06.2004;15.00.00;-200
14.06.2004;16.00.00;-200
14.06.2004;17.00.00;-200
14.06.2004;18.00.00;-200
14.06.2004;19.00.00;-200
14.06.2004;20.00.00;-200
14.06.2004;21.00.00;-200
14.06.2004;22.00.00;-200
14.06.2004;23.00.00;-200
15.06.2004;00.00.00;-200
15.06.2004;01.00.00;-200
15.06.2004;02.00.00;-200
15.06.2004;03.00.00;-200
15.06.2004;04.00.00;-200
15.06.2004;05.00.00;-200
15.06.2004;06.00.00;-200
15.06.2004;07.00.00;-200
15.06.2004;08.00.00;-200
15.06.2004;09.00.00;-200
15.06.2004;10.00.00;-200
15.06.2004;11.00.00;-200
15.06.2004;12.00.00;-200
15.06.2004;13.00.00;-200
15.06.2004;14.00.00;-200
15.06.2004;15.00.00;-200
15.06.2004;16.00.00;-200
15.06.2004;17.00.00;-200
15.06.2004;18.00.00;-200
15.06.2004;19.00.00;-200
15.06.2004;20.00.00;-200
15.06.2004;21.00.00;-200
15.06.2004;22.00.00;-200
15.06.2004;23.00.00;-200
16.06.2004;00.00.00;-200
16.06.2004;01.00.00;-200
16.06.2004;02.00.00;-200
16.06.2004;03.00.00;-200
16.06.2004;04.00.00;-200
16.06.2004;05.00.00;-200
16.06.2004;06.00.00;-200
16.06.2004;07.00.00;-200
16.06.2004;08.00.00;-200
16.06.2004;09.00.00;-200
16.06.2004;10.00.00;-200
16.06.2004;11.00.00;-200
16.06.2004;12.00.00;-200
16.06.2004;13.00.00;-200
16.06.2004;14.00.00;-200
16.06.2004;15.00.00;-200
16.06.2004;16.00.00;-200
16.06.2004;17.00.00;-200
16.06.2004;18.00.00;-200
16.06.2004;19.00.00;-200
16.06.2004;20.00.00;-200
16.06.2004;21.00.00;-200
16.06.2004;22.00.00;-200
16.06.2004;23.00.00;-200
17.06.2004;00.00.00;-200
17.06.2004;01.00.00;-200
17.06.2004;02.00.00;-200
17.06.2004;03.00.00;-200
17.06.2004;04.00.00;-200
17.06.2004;05.00.00;-200
17.06.2004;06.00.00;-200
17.06.2004;07.00.00;-200
17.06.2004;08.00.00;-200
17.06.2004;09.00.00;-200
17.06.2004;10.00.00;-200
17.06.2004;11.00.00;-200
17.06.2004;12.00.00;-200
17.06.2004;13.00.00;-200
17.06.2004;14.00.00;-200
17.06.2004;15.00.00;-200
17.06.2004;16.00.00;-200
17.06.2004;17.00.00;-200
17.06.2004;18.00.00;-200
17.06.2004;19.00.00;-200
17.06.2004;20.00.00;-200
17.06.2004;21.00.00;-200
17.06.2004;22.00.00;-200
17.06.2004;23.00.00;-200
18.06.2004;00.00.00;-200
18.06.2004;01.00.00;-200
18.06.2004;02.00.00;-200
18.06.2004;03.00.00;-200
18.06.2004;04.00.00;-200
18.06.2004;05.00.00;-200
18.06.2004;06.00.00;-200
18.06.2004;07.00.00;-200
18.06.2004;08.00.00;-200
18.06.2004;09.00.00;-200
18.06.2004;10.00.00;-200
18.06.2004;11.00.00;-200
18.06.2004;12.00.00;-200
18.06.2004;13.00.00;-200
18.06.2004;14.00.00;-200
18.06.2004;15.00.00;-200
18.06.2004;16.00.00;-200
18.06.2004;17.00.00;-200
18.06.2004;18.00.00;-200
18.06.2004;19.00.00;-200
18.06.2004;20.00.00;-200
18.06.2004;21.00.00;-200
18.06.2004;22.00.00;-200
18.06.2004;23.00.00;-200
19.06.2004;00.00.00;-200
19.06.2004;01.00.00;-200
19.06.2004;02.00.00;-200
19.06.2004;03.00.00;-200
19.06.2004;04.00.00;-200
19.06.2004;05.00.00;-200
19.06.2004;06.00.00;-200
19.06.2004;07.00.00;-200
19.06.2004;08.00.00;-200
19.06.2004;09.00.00;-200
19.06.2004;10.00.00;-200
19.06.2004;11.00.00;-200
19.06.2004;12.00.00;-200
19.06.2004;13.00.00;-200
19.06.2004;14.00.00;-200
19.06.2004;15.00.00;-200
19.06.2004;16.00.00;-200
19.06.2004;17.00.00;-200
19.06.2004;18.00.00;-200
19.06.2004;19.00.00;-200
19.06.2004;20.00.00;-200
19.06.2004;21.00.00;-200
19.06.2004;22.00.00;-200
19.06.2004;23.00.00;-200
20.06.2004;00.00.00;-200
20.06.2004;01.00.00;-200
20.06.2004;02.00.00;-200
20.06.2004;03.00.00;-200
20.06.2004;04.00.00;-200
20.06.2004;05.00.00;-200
20.06.2004;06.00.00;-200
20.06.2004;07.00.00;-200
20.06.2004;08.00.00;-200
20.06.2004;09.00.00;-200
20.06.2004;10.00.00;-200
20.06.2004;11.00.00;-200
20.06.2004;12.00.00;-200
20.06.2004;13.00.00;-200
20.06.2004;14.00.00;-200
20.06.2004;15.00.00;-200
20.06.2004;16.00.00;-200
20.06.2004;17.00.00;-200
20.06.2004;18.00.00;-200
20.06.2004;19.00.00;-200
20.06.2004;20.00.00;-200
20.06.2004;21.00.00;-200
20.06.2004;22.00.00;-200
20.06.2004;23.00.00;-200
21.06.2004;00.00.00;-200
21.06.2004;01.00.00;-200
21.06.2004;02.00.00;-200
21.06.2004;03.00.00;-200
21.06.2004;04.00.00;-200
21.06.2004;05.00.00;-200
21.06.2004;06.00.00;-200
21.06.2004;07.00.00;-200
21.06.2004;08.00.00;-200
21.06.2004;09.00.00;-200
21.06.2004;10.00.00;-200
21.06.2004;11.00.00;-200
21.06.2004;12.00.00;-200
21.06.2004;13.00.00;-200
21.06.2004;14.00.00;-200
21.06.2004;15.00.00;-200
21.06.2004;16.00.00;-200
21.06.2004;17.00.00;-200
21.06.2004;18.00.00;-200
21.06.2004;19.00.00;-200
21.06.2004;20.00.00;-200
21.06.2004;21.00.00;-200
21.06.2004;22.00.00;-200
21.06.2004;23.00.00;-200
22.06.2004;00.00.00;-200
22.06.2004;01.00.00;-200
22.06.2004;02.00.00;-200
22.06.2004;03.00.00;-200
22.06.2004;04.00.00;-200
22.06.2004;05.00.00;-200
22.06.2004;06.00.00;-200
22.06.2004;07.00.00;-200
22.06.2004;08.00.00;-200
22.06.2004;09.00.00;-200
22.06.2004;10.00.00;-200
22.06.2004;11.00.00;-200
22.06.2004;12.00.00;-200
22.06.2004;13.00.00;-200
22.06.2004;14.00.00;-200
22.06.2004;15.00.00;-200
22.06.2004;16.00.00;-200
22.06.2004;17.00.00;-200
22.06.2004;18.00.00;-200
22.06.2004;19.00.00;-200
22.06.2004;20.00.00;-200
22.06.2004;21.00.00;-200
22.06.2004;22.00.00;-200
22.06.2004;23.00.00;-200
23.06.2004;00.00.00;-200
23.06.2004;01.00.00;-200
23.06.2004;02.00.00;-200
23.06.2004;03.00.00;-200
23.06.2004;04.00.00;-200
23.06.2004;05.00.00;-200
23.06.2004;06.00.00;-200
23.06.2004;07.00.00;-200
23.06.2004;08.00.00;-200
23.06.2004;09.00.00;-200
23.06.2004;10.00.00;-200
23.06.2004;11.00.00;-200
23.06.2004;12.00.00;-200
23.06.2004;13.00.00;-200
23.06.2004;14.00.00;-200
23.06.2004;15.00.00;-200
23.06.2004;16.00.00;-200
23.06.2004;17.00.00;-200
23.06.2004;18.00.00;-200
23.06.2004;19.00.00;-200
23.06.2004;20.00.00;-200
23.06.2004;21.00.00;-200
23.06.2004;22.00.00;-200
23.06.2004;23.00.00;-200
24.06.2004;00.00.00;-200
24.06.2004;01.00.00;-200
24.06.2004;02.00.00;-200
24.06.2004;03.00.00;-200
24.06.2004;04.00.00;-200
24.06.2004;05.00.00;-200
24.06.2004;06.00.00;-200
24.06.2004;07.00.00;-200
24.06.2004;08.00.00;-200
24.06.2004;09.00.00;-200
24.06.2004;10.00.00;-200
24.06.2004;11.00.00;-200
24.06.2004;12.00.00;-200
24.06.2004;13.00.00;-200
24.06.2004;14.00.00;-200
24.06.2004;15.00.00;-200
24.06.2004;16.00.00;-200
24.06.2004;17.00.00;-200
24.06.2004;18.00.00;-200
24.06.2004;19.00.00;-200
24.06.2004;20.00.00;-200
24.06.2004;21.00.00;-200
24.06.2004;22.00.00;-200
24.06.2004;23.00.00;-200
25.06.2004;00.00.00;-200
25.06.2004;01.00.00;-200
25.06.2004;02.00.00;-200
25.06.2004;03.00.00;-200
25.06.2004;04.00.00;-200
25.06.2004;05.00.00;-200
25.06.2004;06.00.00;-200
25.06.2004;07.00.00;-200
25.06.2004;08.00.00;-200
25.06.2004;09.00.00;-200
25.06.2004;10.00.00;-200
25.06.2004;11.00.00;-200
25.06.2004;12.00.00;-200
25.06.2004;13.00.00;-200
25.06.2004;14.00.00;-200
25.06.2004;15.00.00;-200
25.06.2004;16.00.00;-200
25.06.2004;17.00.00;-200
25.06.2004;18.00.00;-200
25.06.2004;19.00.00;-200
25.06.2004;20.00.00;-200
25.06.2004;21.00.00;-200
25.06.2004;22.00.00;-200
25.06.2004;23.00.00;-200
26.06.2004;00.00.00;-200
26.06.2004;01.00.00;-200
26.06.2004;02.00.00;-200
26.06.2004;03.00.00;-200
26.06.2004;04.00.00;-200
26.06.2004;05.00.00;-200
26.06.2004;06.00.00;-200
26.06.2004;07.00.00;-200
26.06.2004;08.00.00;-200
26.06.2004;09.00.00;-200
26.06.2004;10.00.00;-200
26.06.2004;11.00.00;-200
26.06.2004;12.00.00;-200
26.06.2004;13.00.00;-200
26.06.2004;14.00.00;-200
26.06.2004;15.00.00;-200
26.06.2004;16.00.00;-200
26.06.2004;17.00.00;-200
26.06.2004;18.00.00;-200
26.06.2004;19.00.00;-200
26.06.2004;20.00.00;-200
26.06.2004;21.00.00;-200
26.06.2004;22.00.00;-200
26.06.2004;23.00.00;-200
27.06.2004;00.00.00;-200
27.06.2004;01.00.00;-200
27.06.2004;02.00.00;-200
27.06.2004;03.00.00;-200
27.06.2004;04.00.00;-200
27.06.2004;05.00.00;-200
27.06.2004;06.00.00;-200
27.06.2004;07.00.00;-200
27.06.2004;08.00.00;-200
27.06.2004;09.00.00;-200
27.06.2004;10.00.00;-200
27.06.2004;11.00.00;-200
27.06.2004;12.00.00;-200
27.06.2004;13.00.00;-200
27.06.2004;14.00.00;-200
27.06.2004;15.00.00;-200
27.06.2004;16.00.00;-200
27.06.2004;17.00.00;-200
27.06.2004;18.00.00;-200
27.06.2004;19.00.00;-200
27.06.2004;20.00.00;-200
27.06.2004;21.00.00;-200
27.06.2004;22.00.00;-200
27.06.2004;23.00.00;-200
28.06.2004;00.00.00;-200
28.06.2004;01.00.00;-200
28.06.2004;02.00.00;-200
28.06.2004;03.00.00;-200
28.06.2004;04.00.00;-200
28.06.2004;05.00.00;-200
28.06.2004;06.00.00;-200
28.06.2004;07.00.00;-200
28.06.2004;08.00.00;-200
28.06.2004;09.00.00;-200
28.06.2004;10.00.00;-200
28.06.2004;11.00.00;-200
28.06.2004;12.00.00;-200
28.06.2004;13.00.00;-200
28.06.2004;14.00.00;-200
28.06.2004;15.00.00;-200
28.06.2004;16.00.00;-200
28.06.2004;17.00.00;-200
28.06.2004;18.00.00;-200
28.06.2004;19.00.00;-200
28.06.2004;20.00.00;-200
28.06.2004;21.00.00;-200
28.06.2004;22.00.00;-200
28.06.2004;23.00.00;-200
29.06.2004;00.00.00;-200
29.06.2004;01.00.00;-200
29.06.2004;02.00.00;-200
29.06.2004;03.00.00;-200
29.06.2004;04.00.00;-200
29.06.2004;05.00.00;-200
29.06.2004;06.00.00;-200
29.06.2004;07.00.00;-200
29.06.2004;08.00.00;-200
29.06.2004;09.00.00;-200
29.06.2004;10.00.00;-200
29.06.2004;11.00.00;-200
29.06.2004;12.00.00;-200
29.06.2004;13.00.00;-200
29.06.2004;14.00.00;-200
29.06.2004;15.00.00;-200
29.06.2004;16.00.00;-200
29.06.2004;17.00.00;-200
29.06.2004;18.00.00;-200
29.06.2004;19.00.00;-200
29.06.2004;20.00.00;-200
29.06.2004;21.00.00;-200
29.06.2004;22.00.00;-200
29.06.2004;23.00.00;-200
30.06.2004;00.00.00;-200
30.06.2004;01.00.00;-200
30.06.2004;02.00.00;-200
30.06.2004;03.00.00;-200
30.06.2004;04.00.00;-200
30.06.2004;05.00.00;-200
30.06.2004;06.00.00;-200
30.06.2004;07.00.00;-200
30.06.2004;08.00.00;-200
30.06.2004;09.00.00;-200
30.06.2004;10.00.00;-200
30.06.2004;11.00.00;-200
30.06.2004;12.00.00;-200
30.06.2004;13.00.00;-200
30.06.2004;14.00.00;-200
30.06.2004;15.00.00;-200
30.06.2004;16.00.00;-200
30.06.2004;17.00.00;-200
30.06.2004;18.00.00;-200
30.06.2004;19.00.00;-200
30.06.2004;20.00.00;-200
30.06.2004;21.00.00;-200
30.06.2004;22.00.00;-200
30.06.2004;23.00.00;-200
01.07.2004;00.00.00;-200
01.07.2004;01.00.00;-200
01.07.2004;02.00.00;-200
01.07.2004;03.00.00;-200
01.07.2004;04.00.00;-200
01.07.2004;05.00.00;-200
01.07.2004;06.00.00;-200
01.07.2004;07.00.00;-200
01.07.2004;08.00.00;-200
01.07.2004;09.00.00;-200
01.07.2004;10.00.00;-200
01.07.2004;11.00.00;-200
01.07.2004;12.00.00;-200
01.07.2004;13.00.00;-200
01.07.2004;14.00.00;-200
01.07.2004;15.00.00;-200
01.07.2004;16.00.00;-200
01.07.2004;17.00.00;-200
01.07.2004;18.00.00;-200
01.07.2004;19.00.00;-200
01.07.2004;20.00.00;-200
01.07.2004;21.00.00;-200
01.07.2004;22.00.00;-200
01.07.2004;23.00.00;-200
02.07.2004;00.00.00;-200
02.07.2004;01.00.00;-200
02.07.2004;02.00.00;-200
02.07.2004;03.00.00;-200
02.07.2004;04.00.00;-200
02.07.2004;05.00.00;-200
02.07.2004;06.00.00;-200
02.07.2004;07.00.00;-200
02.07.2004;08.00.00;-200
02.07.2004;09.00.00;-200
02.07.2004;10.00.00;-200
02.07.2004;11.00.00;-200
02.07.2004;12.00.00;-200
02.07.2004;13.00.00;-200
02.07.2004;14.00.00;-200
02.07.2004;15.00.00;-200
02.07.2004;16.00.00;-200
02.07.2004;17.00.00;-200
02.07.2004;18.00.00;-200
02.07.2004;19.00.00;-200
02.07.2004;20.00.00;-200
02.07.2004;21.00.00;-200
02.07.2004;22.00.00;-200
02.07.2004;23.00.00;-200
03.07.2004;00.00.00;-200
03.07.2004;01.00.00;-200
03.07.2004;02.00.00;-200
03.07.2004;03.00.00;-200
03.07.2004;04.00.00;-200
03.07.2004;05.00.00;-200
03.07.2004;06.00.00;-200
03.07.2004;07.00.00;-200
03.07.2004;08.00.00;-200
03.07.2004;09.00.00;-200
03.07.2004;10.00.00;-200
03.07.2004;11.00.00;-200
03.07.2004;12.00.00;-200
03.07.2004;13.00.00;-200
03.07.2004;14.00.00;-200
03.07.2004;15.00.00;-200
03.07.2004;16.00.00;-200
03.07.2004;17.00.00;-200
03.07.2004;18.00.00;-200
03.07.2004;19.00.00;-200
03.07.2004;20.00.00;-200
03.07.2004;21.00.00;-200
03.07.2004;22.00.00;-200
03.07.2004;23.00.00;-200
04.07.2004;00.00.00;-200
04.07.2004;01.00.00;-200
04.07.2004;02.00.00;-200
04.07.2004;03.00.00;-200
04.07.2004;04.00.00;-200
04.07.2004;05.00.00;-200
04.07.2004;06.00.00;-200
04.07.2004;07.00.00;-200
04.07.2004;08.00.00;-200
04.07.2004;09.00.00;-200
04.07.2004;10.00.00;-200
04.07.2004;11.00.00;-200
04.07.2004;12.00.00;-200
04.07.2004;13.00.00;-200
04.07.2004;14.00.00;-200
04.07.2004;15.00.00;-200
04.07.2004;16.00.00;-200
04.07.2004;17.00.00;-200
04.07.2004;18.00.00;-200
04.07.2004;19.00.00;-200
04.07.2004;20.00.00;-200
04.07.2004;21.00.00;-200
04.07.2004;22.00.00;-200
04.07.2004;23.00.00;-200
05.07.2004;00.00.00;-200
05.07.2004;01.00.00;-200
05.07.2004;02.00.00;-200
05.07.2004;03.00.00;-200
05.07.2004;04.00.00;-200
05.07.2004;05.00.00;-200
05.07.2004;06.00.00;-200
05.07.2004;07.00.00;-200
05.07.2004;08.00.00;-200
05.07.2004;09.00.00;-200
05.07.2004;10.00.00;-200
05.07.2004;11.00.00;-200
05.07.2004;12.00.00;-200
05.07.2004;13.00.00;-200
05.07.2004;14.00.00;-200
05.07.2004;15.00.00;-200
05.07.2004;16.00.00;-200
05.07.2004;17.00.00;-200
05.07.2004;18.00.00;-200
05.07.2004;19.00.00;-200
05.07.2004;20.00.00;-200
05.07.2004;21.00.00;-200
05.07.2004;22.00.00;-200
05.07.2004;23.00.00;-200
