Date;Time;PT08.S5(O3)
27.05.2004;01.00.00;954
27.05.2004;02.00.00;726
27.05.2004;03.00.00;656
27.05.2004;04.00.00;573
27.05.2004;05.00.00;780
27.05.2004;06.00.00;920
27.05.2004;07.00.00;1544
27.05.2004;08.00.00;1789
27.05.2004;09.00.00;1629
27.05.2004;10.00.00;997
27.05.2004;11.00.00;847
27.05.2004;12.00.00;958
27.05.2004;13.00.00;854
27.05.2004;14.00.00;782
27.05.2004;15.00.00;888
27.05.2004;16.00.00;764
27.05.2004;17.00.00;1170
27.05.2004;18.00.00;1385
27.05.2004;19.00.00;1237
27.05.2004;20.00.00;1127
27.05.2004;21.00.00;1091
27.05.2004;22.00.00;972
27.05.2004;23.00.00;949
28.05.2004;00.00.00;890
28.05.2004;01.00.00;763
28.05.2004;02.00.00;833
28.05.2004;03.00.00;675
28.05.2004;04.00.00;672
28.05.2004;05.00.00;626
28.05.2004;06.00.00;882
28.05.2004;07.00.00;1264
28.05.2004;08.00.00;1330
28.05.2004;09.00.00;1324
28.05.2004;10.00.00;901
28.05.2004;11.00.00;852
28.05.2004;12.00.00;1009
28.05.2004;13.00.00;831
28.05.2004;14.00.00;954
28.05.2004;15.00.00;814
28.05.2004;16.00.00;845
28.05.2004;17.00.00;956
28.05.2004;18.00.00;1102
28.05.2004;19.00.00;994
28.05.2004;20.00.00;935
28.05.2004;21.00.00;839
28.05.2004;22.00.00;797
28.05.2004;23.00.00;968
29.05.2004;00.00.00;886
29.05.2004;01.00.00;764
29.05.2004;02.00.00;657
29.05.2004;03.00.00;540
29.05.2004;04.00.00;621
29.05.2004;05.00.00;450
29.05.2004;06.00.00;434
29.05.2004;07.00.00;559
29.05.2004;08.00.00;548
29.05.2004;09.00.00;525
29.05.2004;10.00.00;522
29.05.2004;11.00.00;535
29.05.2004;12.00.00;585
29.05.2004;13.00.00;521
29.05.2004;14.00.00;493
29.05.2004;15.00.00;501
29.05.2004;16.00.00;559
29.05.2004;17.00.00;589
29.05.2004;18.00.00;596
29.05.2004;19.00.00;681
29.05.2004;20.00.00;783
29.05.2004;21.00.00;738
29.05.2004;22.00.00;762
29.05.2004;23.00.00;929
30.05.2004;00.00.00;1044
30.05.2004;01.00.00;892
30.05.2004;02.00.00;807
30.05.2004;03.00.00;710
30.05.2004;04.00.00;712
30.05.2004;05.00.00;568
30.05.2004;06.00.00;575
30.05.2004;07.00.00;658
30.05.2004;08.00.00;537
30.05.2004;09.00.00;486
30.05.2004;10.00.00;507
30.05.2004;11.00.00;496
30.05.2004;12.00.00;502
30.05.2004;13.00.00;430
30.05.2004;14.00.00;439
30.05.2004;15.00.00;471
30.05.2004;16.00.00;589
30.05.2004;17.00.00;598
30.05.2004;18.00.00;695
30.05.2004;19.00.00;739
30.05.2004;20.00.00;891
30.05.2004;21.00.00;930
30.05.2004;22.00.00;880
30.05.2004;23.00.00;610
31.05.2004;00.00.00;518
31.05.2004;01.00.00;664
31.05.2004;02.00.00;515
31.05.2004;03.00.00;477
31.05.2004;04.00.00;477
31.05.2004;05.00.00;581
31.05.2004;06.00.00;763
31.05.2004;07.00.00;1111
31.05.2004;08.00.00;1390
31.05.2004;09.00.00;1251
31.05.2004;10.00.00;1141
31.05.2004;11.00.00;942
31.05.2004;12.00.00;795
31.05.2004;13.00.00;836
31.05.2004;14.00.00;847
31.05.2004;15.00.00;769
31.05.2004;16.00.00;968
31.05.2004;17.00.00;1157
31.05.2004;18.00.00;1367
31.05.2004;19.00.00;1101
31.05.2004;20.00.00;916
31.05.2004;21.00.00;825
31.05.2004;22.00.00;693
31.05.2004;23.00.00;734
01.06.2004;00.00.00;685
01.06.2004;01.00.00;524
01.06.2004;02.00.00;527
01.06.2004;03.00.00;452
01.06.2004;04.00.00;466
01.06.2004;05.00.00;565
01.06.2004;06.00.00;799
01.06.2004;07.00.00;1102
01.06.2004;08.00.00;1299
01.06.2004;09.00.00;1272
01.06.2004;10.00.00;1206
01.06.2004;11.00.00;1218
01.06.2004;12.00.00;1367
01.06.2004;13.00.00;1290
01.06.2004;14.00.00;1175
01.06.2004;15.00.00;1139
01.06.2004;16.00.00;1293
01.06.2004;17.00.00;1419
01.06.2004;18.00.00;1326
01.06.2004;19.00.00;1517
01.06.2004;20.00.00;1391
01.06.2004;21.00.00;1275
01.06.2004;22.00.00;1168
01.06.2004;23.00.00;1132
02.06.2004;00.00.00;977
02.06.2004;01.00.00;942
02.06.2004;02.00.00;804
02.06.2004;03.00.00;805
02.06.2004;04.00.00;704
02.06.2004;05.00.00;657
02.06.2004;06.00.00;655
02.06.2004;07.00.00;751
02.06.2004;08.00.00;885
02.06.2004;09.00.00;955
02.06.2004;10.00.00;962
02.06.2004;11.00.00;957
02.06.2004;12.00.00;788
02.06.2004;13.00.00;596
02.06.2004;14.00.00;560
02.06.2004;15.00.00;701
02.06.2004;16.00.00;811
02.06.2004;17.00.00;724
02.06.2004;18.00.00;864
02.06.2004;19.00.00;1084
02.06.2004;20.00.00;998
02.06.2004;21.00.00;878
02.06.2004;22.00.00;909
02.06.2004;23.00.00;789
03.06.2004;00.00.00;857
03.06.2004;01.00.00;885
03.06.2004;02.00.00;743
03.06.2004;03.00.00;445
03.06.2004;04.00.00;454
03.06.2004;05.00.00;610
03.06.2004;06.00.00;1024
03.06.2004;07.00.00;1316
03.06.2004;08.00.00;1358
03.06.2004;09.00.00;2202
03.06.2004;10.00.00;1947
03.06.2004;11.00.00;1227
03.06.2004;12.00.00;950
03.06.2004;13.00.00;917
03.06.2004;14.00.00;707
03.06.2004;15.00.00;740
03.06.2004;16.00.00;775
03.06.2004;17.00.00;1035
03.06.2004;18.00.00;1001
03.06.2004;19.00.00;1101
03.06.2004;20.00.00;1034
03.06.2004;21.00.00;786
03.06.2004;22.00.00;844
03.06.2004;23.00.00;866
04.06.2004;00.00.00;909
04.06.2004;01.00.00;724
04.06.2004;02.00.00;715
04.06.2004;03.00.00;827
04.06.2004;04.00.00;786
04.06.2004;05.00.00;445
04.06.2004;06.00.00;607
04.06.2004;07.00.00;1213
04.06.2004;08.00.00;910
04.06.2004;09.00.00;675
04.06.2004;10.00.00;582
04.06.2004;11.00.00;666
04.06.2004;12.00.00;726
04.06.2004;13.00.00;801
04.06.2004;14.00.00;711
04.06.2004;15.00.00;790
04.06.2004;16.00.00;924
04.06.2004;17.00.00;1045
04.06.2004;18.00.00;1088
04.06.2004;19.00.00;1038
04.06.2004;20.00.00;981
04.06.2004;21.00.00;820
04.06.2004;22.00.00;948
04.06.2004;23.00.00;1067
05.06.2004;00.00.00;1070
05.06.2004;01.00.00;877
05.06.2004;02.00.00;1028
05.06.2004;03.00.00;969
05.06.2004;04.00.00;837
05.06.2004;05.00.00;904
05.06.2004;06.00.00;1065
05.06.2004;07.00.00;999
05.06.2004;08.00.00;986
05.06.2004;09.00.00;874
05.06.2004;10.00.00;689
05.06.2004;11.00.00;608
05.06.2004;12.00.00;706
05.06.2004;13.00.00;704
05.06.2004;14.00.00;609
05.06.2004;15.00.00;687
05.06.2004;16.00.00;976
05.06.2004;17.00.00;860
05.06.2004;18.00.00;1021
05.06.2004;19.00.00;1079
05.06.2004;20.00.00;826
05.06.2004;21.00.00;558
05.06.2004;22.00.00;679
05.06.2004;23.00.00;850
06.06.2004;00.00.00;733
06.06.2004;01.00.00;612
06.06.2004;02.00.00;788
06.06.2004;03.00.00;728
06.06.2004;04.00.00;724
06.06.2004;05.00.00;543
06.06.2004;06.00.00;616
06.06.2004;07.00.00;677
06.06.2004;08.00.00;723
06.06.2004;09.00.00;529
06.06.2004;10.00.00;528
06.06.2004;11.00.00;491
06.06.2004;12.00.00;489
06.06.2004;13.00.00;450
06.06.2004;14.00.00;451
06.06.2004;15.00.00;512
06.06.2004;16.00.00;525
06.06.2004;17.00.00;556
06.06.2004;18.00.00;599
06.06.2004;19.00.00;694
06.06.2004;20.00.00;744
06.06.2004;21.00.00;724
06.06.2004;22.00.00;804
06.06.2004;23.00.00;862
07.06.2004;00.00.00;811
07.06.2004;01.00.00;627
07.06.2004;02.00.00;575
07.06.2004;03.00.00;589
07.06.2004;04.00.00;579
07.06.2004;05.00.00;605
07.06.2004;06.00.00;974
07.06.2004;07.00.00;1132
07.06.2004;08.00.00;1378
07.06.2004;09.00.00;1160
07.06.2004;10.00.00;1213
07.06.2004;11.00.00;1057
07.06.2004;12.00.00;832
07.06.2004;13.00.00;983
07.06.2004;14.00.00;1047
07.06.2004;15.00.00;1078
07.06.2004;16.00.00;979
07.06.2004;17.00.00;1139
07.06.2004;18.00.00;1111
07.06.2004;19.00.00;1470
07.06.2004;20.00.00;980
07.06.2004;21.00.00;893
07.06.2004;22.00.00;858
07.06.2004;23.00.00;904
08.06.2004;00.00.00;905
08.06.2004;01.00.00;678
08.06.2004;02.00.00;586
08.06.2004;03.00.00;608
08.06.2004;04.00.00;514
08.06.2004;05.00.00;588
08.06.2004;06.00.00;884
08.06.2004;07.00.00;1338
08.06.2004;08.00.00;1708
08.06.2004;09.00.00;1681
08.06.2004;10.00.00;1509
08.06.2004;11.00.00;1330
08.06.2004;12.00.00;1138
08.06.2004;13.00.00;963
08.06.2004;14.00.00;1015
08.06.2004;15.00.00;1008
08.06.2004;16.00.00;898
08.06.2004;17.00.00;1215
08.06.2004;18.00.00;1334
08.06.2004;19.00.00;1380
08.06.2004;20.00.00;1601
08.06.2004;21.00.00;1376
08.06.2004;22.00.00;1161
08.06.2004;23.00.00;878
09.06.2004;00.00.00;1031
09.06.2004;01.00.00;847
09.06.2004;02.00.00;908
09.06.2004;03.00.00;733
09.06.2004;04.00.00;751
09.06.2004;05.00.00;799
09.06.2004;06.00.00;954
09.06.2004;07.00.00;1425
09.06.2004;08.00.00;2147
09.06.2004;09.00.00;1532
09.06.2004;10.00.00;1570
09.06.2004;11.00.00;1380
09.06.2004;12.00.00;1337
09.06.2004;13.00.00;1308
09.06.2004;14.00.00;1013
09.06.2004;15.00.00;816
09.06.2004;16.00.00;836
09.06.2004;17.00.00;1267
09.06.2004;18.00.00;1649
09.06.2004;19.00.00;1622
09.06.2004;20.00.00;1349
09.06.2004;21.00.00;1186
09.06.2004;22.00.00;1026
09.06.2004;23.00.00;817
10.06.2004;00.00.00;662
10.06.2004;01.00.00;552
10.06.2004;02.00.00;775
10.06.2004;03.00.00;646
10.06.2004;04.00.00;647
10.06.2004;05.00.00;874
10.06.2004;06.00.00;973
10.06.2004;07.00.00;1327
10.06.2004;08.00.00;1626
10.06.2004;09.00.00;1640
10.06.2004;10.00.00;1341
10.06.2004;11.00.00;1113
10.06.2004;12.00.00;1224
10.06.2004;13.00.00;1095
10.06.2004;14.00.00;1152
10.06.2004;15.00.00;1047
10.06.2004;16.00.00;982
10.06.2004;17.00.00;1320
10.06.2004;18.00.00;1541
10.06.2004;19.00.00;1510
10.06.2004;20.00.00;1511
10.06.2004;21.00.00;1078
10.06.2004;22.00.00;1235
10.06.2004;23.00.00;1202
11.06.2004;00.00.00;1103
11.06.2004;01.00.00;1013
11.06.2004;02.00.00;765
11.06.2004;03.00.00;618
11.06.2004;04.00.00;663
11.06.2004;05.00.00;813
11.06.2004;06.00.00;894
11.06.2004;07.00.00;1495
11.06.2004;08.00.00;1658
11.06.2004;09.00.00;1506
11.06.2004;10.00.00;1168
11.06.2004;11.00.00;993
11.06.2004;12.00.00;910
11.06.2004;13.00.00;912
11.06.2004;14.00.00;814
11.06.2004;15.00.00;1341
11.06.2004;16.00.00;847
11.06.2004;17.00.00;925
11.06.2004;18.00.00;1087
11.06.2004;19.00.00;1132
11.06.2004;20.00.00;1197
11.06.2004;21.00.00;1229
11.06.2004;22.00.00;1171
11.06.2004;23.00.00;921
12.06.2004;00.00.00;1008
12.06.2004;01.00.00;849
12.06.2004;02.00.00;668
12.06.2004;03.00.00;641
12.06.2004;04.00.00;707
12.06.2004;05.00.00;939
12.06.2004;06.00.00;886
12.06.2004;07.00.00;837
12.06.2004;08.00.00;1005
12.06.2004;09.00.00;1191
12.06.2004;10.00.00;1200
12.06.2004;11.00.00;971
12.06.2004;12.00.00;907
12.06.2004;13.00.00;802
12.06.2004;14.00.00;695
12.06.2004;15.00.00;777
12.06.2004;16.00.00;818
12.06.2004;17.00.00;681
12.06.2004;18.00.00;631
12.06.2004;19.00.00;641
12.06.2004;20.00.00;683
12.06.2004;21.00.00;1013
12.06.2004;22.00.00;1151
12.06.2004;23.00.00;1134
13.06.2004;00.00.00;945
13.06.2004;01.00.00;734
13.06.2004;02.00.00;554
13.06.2004;03.00.00;612
13.06.2004;04.00.00;564
13.06.2004;05.00.00;512
13.06.2004;06.00.00;410
13.06.2004;07.00.00;392
13.06.2004;08.00.00;377
13.06.2004;09.00.00;389
13.06.2004;10.00.00;432
13.06.2004;11.00.00;502
13.06.2004;12.00.00;469
13.06.2004;13.00.00;427
13.06.2004;14.00.00;406
13.06.2004;15.00.00;430
13.06.2004;16.00.00;453
13.06.2004;17.00.00;470
13.06.2004;18.00.00;480
13.06.2004;19.00.00;472
13.06.2004;20.00.00;521
13.06.2004;21.00.00;520
13.06.2004;22.00.00;440
13.06.2004;23.00.00;446
14.06.2004;00.00.00;417
14.06.2004;01.00.00;381
14.06.2004;02.00.00;350
14.06.2004;03.00.00;334
14.06.2004;04.00.00;346
14.06.2004;05.00.00;380
14.06.2004;06.00.00;563
14.06.2004;07.00.00;779
14.06.2004;08.00.00;842
14.06.2004;09.00.00;692
14.06.2004;10.00.00;779
14.06.2004;11.00.00;633
14.06.2004;12.00.00;616
14.06.2004;13.00.00;606
14.06.2004;14.00.00;526
14.06.2004;15.00.00;588
14.06.2004;16.00.00;674
14.06.2004;17.00.00;885
14.06.2004;18.00.00;879
14.06.2004;19.00.00;703
14.06.2004;20.00.00;637
14.06.2004;21.00.00;561
14.06.2004;22.00.00;612
14.06.2004;23.00.00;621
15.06.2004;00.00.00;702
15.06.2004;01.00.00;559
15.06.2004;02.00.00;435
15.06.2004;03.00.00;441
15.06.2004;04.00.00;527
15.06.2004;05.00.00;720
15.06.2004;06.00.00;937
15.06.2004;07.00.00;1482
15.06.2004;08.00.00;1489
15.06.2004;09.00.00;1015
15.06.2004;10.00.00;1004
15.06.2004;11.00.00;1129
15.06.2004;12.00.00;1068
15.06.2004;13.00.00;924
15.06.2004;14.00.00;861
15.06.2004;15.00.00;981
15.06.2004;16.00.00;1043
15.06.2004;17.00.00;1124
15.06.2004;18.00.00;1004
15.06.2004;19.00.00;1190
15.06.2004;20.00.00;1072
15.06.2004;21.00.00;925
15.06.2004;22.00.00;862
15.06.2004;23.00.00;969
16.06.2004;00.00.00;932
16.06.2004;01.00.00;794
16.06.2004;02.00.00;599
16.06.2004;03.00.00;614
16.06.2004;04.00.00;625
16.06.2004;05.00.00;595
16.06.2004;06.00.00;886
16.06.2004;07.00.00;1257
16.06.2004;08.00.00;1561
16.06.2004;09.00.00;1191
16.06.2004;10.00.00;1061
16.06.2004;11.00.00;751
16.06.2004;12.00.00;733
16.06.2004;13.00.00;906
16.06.2004;14.00.00;902
16.06.2004;15.00.00;836
16.06.2004;16.00.00;863
16.06.2004;17.00.00;824
16.06.2004;18.00.00;842
16.06.2004;19.00.00;1132
16.06.2004;20.00.00;1175
16.06.2004;21.00.00;1111
16.06.2004;22.00.00;1125
16.06.2004;23.00.00;1077
17.06.2004;00.00.00;1087
17.06.2004;01.00.00;1014
17.06.2004;02.00.00;801
17.06.2004;03.00.00;802
17.06.2004;04.00.00;753
17.06.2004;05.00.00;696
17.06.2004;06.00.00;996
17.06.2004;07.00.00;1513
17.06.2004;08.00.00;1598
17.06.2004;09.00.00;1690
17.06.2004;10.00.00;1053
17.06.2004;11.00.00;931
17.06.2004;12.00.00;865
17.06.2004;13.00.00;818
17.06.2004;14.00.00;802
17.06.2004;15.00.00;778
17.06.2004;16.00.00;767
17.06.2004;17.00.00;1000
17.06.2004;18.00.00;1143
17.06.2004;19.00.00;1009
17.06.2004;20.00.00;1076
17.06.2004;21.00.00;830
17.06.2004;22.00.00;853
17.06.2004;23.00.00;1310
18.06.2004;00.00.00;1119
18.06.2004;01.00.00;918
18.06.2004;02.00.00;609
18.06.2004;03.00.00;516
18.06.2004;04.00.00;510
18.06.2004;05.00.00;554
18.06.2004;06.00.00;760
18.06.2004;07.00.00;1170
18.06.2004;08.00.00;1545
18.06.2004;09.00.00;1508
18.06.2004;10.00.00;1292
18.06.2004;11.00.00;1287
18.06.2004;12.00.00;1042
18.06.2004;13.00.00;817
18.06.2004;14.00.00;847
18.06.2004;15.00.00;806
18.06.2004;16.00.00;896
18.06.2004;17.00.00;1069
18.06.2004;18.00.00;945
18.06.2004;19.00.00;1168
18.06.2004;20.00.00;1065
18.06.2004;21.00.00;672
18.06.2004;22.00.00;842
18.06.2004;23.00.00;1123
19.06.2004;00.00.00;1007
19.06.2004;01.00.00;855
19.06.2004;02.00.00;689
19.06.2004;03.00.00;622
19.06.2004;04.00.00;658
19.06.2004;05.00.00;628
19.06.2004;06.00.00;659
19.06.2004;07.00.00;799
19.06.2004;08.00.00;964
19.06.2004;09.00.00;910
19.06.2004;10.00.00;999
19.06.2004;11.00.00;853
19.06.2004;12.00.00;752
19.06.2004;13.00.00;778
19.06.2004;14.00.00;-200
19.06.2004;15.00.00;-200
19.06.2004;16.00.00;-200
19.06.2004;17.00.00;-200
19.06.2004;18.00.00;-200
19.06.2004;19.00.00;-200
19.06.2004;20.00.00;-200
19.06.2004;21.00.00;-200
19.06.2004;22.00.00;-200
19.06.2004;23.00.00;-200
20.06.2004;00.00.00;-200
20.06.2004;01.00.00;-200
20.06.2004;02.00.00;-200
20.06.2004;03.00.00;-200
20.06.2004;04.00.00;-200
20.06.2004;05.00.00;-200
20.06.2004;06.00.00;-200
20.06.2004;07.00.00;-200
20.06.2004;08.00.00;-200
20.06.2004;09.00.00;-200
20.06.2004;10.00.00;-200
20.06.2004;11.00.00;-200
20.06.2004;12.00.00;-200
20.06.2004;13.00.00;-200
20.06.2004;14.00.00;-200
20.06.2004;15.00.00;-200
20.06.2004;16.00.00;-200
20.06.2004;17.00.00;-200
20.06.2004;18.00.00;-200
20.06.2004;19.00.00;-200
20.06.2004;20.00.00;-200
20.06.2004;21.00.00;-200
20.06.2004;22.00.00;-200
20.06.2004;23.00.00;-200
21.06.2004;00.00.00;-200
21.06.2004;01.00.00;-200
21.06.2004;02.00.00;-200
21.06.2004;03.00.00;-200
21.06.2004;04.00.00;466
21.06.2004;05.00.00;609
21.06.2004;06.00.00;863
21.06.2004;07.00.00;1203
21.06.2004;08.00.00;1412
21.06.2004;09.00.00;1069
21.06.2004;10.00.00;817
21.06.2004;11.00.00;649
21.06.2004;12.00.00;598
21.06.2004;13.00.00;540
21.06.2004;14.00.00;601
21.06.2004;15.00.00;668
21.06.2004;16.00.00;647
21.06.2004;17.00.00;816
21.06.2004;18.00.00;963
21.06.2004;19.00.00;1010
21.06.2004;20.00.00;967
21.06.2004;21.00.00;904
21.06.2004;22.00.00;852
21.06.2004;23.00.00;744
22.06.2004;00.00.00;760
22.06.2004;01.00.00;613
22.06.2004;02.00.00;531
22.06.2004;03.00.00;493
22.06.2004;04.00.00;509
22.06.2004;05.00.00;560
22.06.2004;06.00.00;826
22.06.2004;07.00.00;1334
22.06.2004;08.00.00;1660
22.06.2004;09.00.00;1362
22.06.2004;10.00.00;1316
22.06.2004;11.00.00;1089
22.06.2004;12.00.00;1129
22.06.2004;13.00.00;1120
22.06.2004;14.00.00;916
22.06.2004;15.00.00;812
22.06.2004;16.00.00;959
22.06.2004;17.00.00;1189
22.06.2004;18.00.00;1199
22.06.2004;19.00.00;1283
22.06.2004;20.00.00;1291
22.06.2004;21.00.00;949
22.06.2004;22.00.00;1018
22.06.2004;23.00.00;1122
23.06.2004;00.00.00;968
23.06.2004;01.00.00;806
23.06.2004;02.00.00;714
23.06.2004;03.00.00;644
23.06.2004;04.00.00;606
23.06.2004;05.00.00;606
23.06.2004;06.00.00;819
23.06.2004;07.00.00;1462
23.06.2004;08.00.00;1478
23.06.2004;09.00.00;1598
23.06.2004;10.00.00;1449
23.06.2004;11.00.00;1221
23.06.2004;12.00.00;1023
23.06.2004;13.00.00;910
23.06.2004;14.00.00;913
23.06.2004;15.00.00;1035
23.06.2004;16.00.00;1085
23.06.2004;17.00.00;1278
23.06.2004;18.00.00;1383
23.06.2004;19.00.00;1473
23.06.2004;20.00.00;1507
23.06.2004;21.00.00;1215
23.06.2004;22.00.00;1242
23.06.2004;23.00.00;1356
24.06.2004;00.00.00;1195
24.06.2004;01.00.00;899
24.06.2004;02.00.00;726
24.06.2004;03.00.00;743
24.06.2004;04.00.00;684
24.06.2004;05.00.00;779
24.06.2004;06.00.00;801
24.06.2004;07.00.00;983
24.06.2004;08.00.00;989
24.06.2004;09.00.00;875
24.06.2004;10.00.00;807
24.06.2004;11.00.00;727
24.06.2004;12.00.00;549
24.06.2004;13.00.00;570
24.06.2004;14.00.00;596
24.06.2004;15.00.00;585
24.06.2004;16.00.00;637
24.06.2004;17.00.00;664
24.06.2004;18.00.00;797
24.06.2004;19.00.00;1046
24.06.2004;20.00.00;1058
24.06.2004;21.00.00;1214
24.06.2004;22.00.00;1056
24.06.2004;23.00.00;1280
25.06.2004;00.00.00;1045
25.06.2004;01.00.00;1039
25.06.2004;02.00.00;640
25.06.2004;03.00.00;705
25.06.2004;04.00.00;662
25.06.2004;05.00.00;579
25.06.2004;06.00.00;987
25.06.2004;07.00.00;1197
25.06.2004;08.00.00;1328
25.06.2004;09.00.00;1370
25.06.2004;10.00.00;921
25.06.2004;11.00.00;876
25.06.2004;12.00.00;819
25.06.2004;13.00.00;763
25.06.2004;14.00.00;675
25.06.2004;15.00.00;637
25.06.2004;16.00.00;826
25.06.2004;17.00.00;854
25.06.2004;18.00.00;894
25.06.2004;19.00.00;1077
25.06.2004;20.00.00;1121
25.06.2004;21.00.00;1071
25.06.2004;22.00.00;1167
25.06.2004;23.00.00;1162
26.06.2004;00.00.00;848
26.06.2004;01.00.00;759
26.06.2004;02.00.00;694
26.06.2004;03.00.00;848
26.06.2004;04.00.00;689
26.06.2004;05.00.00;610
26.06.2004;06.00.00;816
26.06.2004;07.00.00;1158
26.06.2004;08.00.00;1228
26.06.2004;09.00.00;1323
26.06.2004;10.00.00;1274
26.06.2004;11.00.00;846
26.06.2004;12.00.00;737
26.06.2004;13.00.00;675
26.06.2004;14.00.00;559
26.06.2004;15.00.00;604
26.06.2004;16.00.00;729
26.06.2004;17.00.00;741
26.06.2004;18.00.00;747
26.06.2004;19.00.00;932
26.06.2004;20.00.00;928
26.06.2004;21.00.00;860
26.06.2004;22.00.00;963
26.06.2004;23.00.00;1309
27.06.2004;00.00.00;1266
27.06.2004;01.00.00;1181
27.06.2004;02.00.00;937
27.06.2004;03.00.00;995
27.06.2004;04.00.00;789
27.06.2004;05.00.00;682
27.06.2004;06.00.00;717
27.06.2004;07.00.00;696
27.06.2004;08.00.00;807
27.06.2004;09.00.00;1025
27.06.2004;10.00.00;1090
27.06.2004;11.00.00;932
27.06.2004;12.00.00;639
27.06.2004;13.00.00;467
27.06.2004;14.00.00;476
27.06.2004;15.00.00;490
27.06.2004;16.00.00;669
27.06.2004;17.00.00;800
27.06.2004;18.00.00;791
27.06.2004;19.00.00;849
27.06.2004;20.00.00;934
27.06.2004;21.00.00;1081
27.06.2004;22.00.00;1102
27.06.2004;23.00.00;914
28.06.2004;00.00.00;926
28.06.2004;01.00.00;786
28.06.2004;02.00.00;619
28.06.2004;03.00.00;633
28.06.2004;04.00.00;634
28.06.2004;05.00.00;722
28.06.2004;06.00.00;717
28.06.2004;07.00.00;1445
28.06.2004;08.00.00;1786
28.06.2004;09.00.00;1791
28.06.2004;10.00.00;1413
28.06.2004;11.00.00;1092
28.06.2004;12.00.00;940
28.06.2004;13.00.00;883
28.06.2004;14.00.00;850
28.06.2004;15.00.00;928
28.06.2004;16.00.00;835
28.06.2004;17.00.00;1157
28.06.2004;18.00.00;1232
28.06.2004;19.00.00;1288
28.06.2004;20.00.00;1143
28.06.2004;21.00.00;1014
28.06.2004;22.00.00;1088
28.06.2004;23.00.00;1092
29.06.2004;00.00.00;1090
29.06.2004;01.00.00;979
29.06.2004;02.00.00;806
29.06.2004;03.00.00;712
29.06.2004;04.00.00;853
29.06.2004;05.00.00;816
29.06.2004;06.00.00;934
29.06.2004;07.00.00;1548
29.06.2004;08.00.00;1858
29.06.2004;09.00.00;1410
29.06.2004;10.00.00;1334
29.06.2004;11.00.00;1140
29.06.2004;12.00.00;1111
29.06.2004;13.00.00;1054
29.06.2004;14.00.00;924
29.06.2004;15.00.00;1041
29.06.2004;16.00.00;1282
29.06.2004;17.00.00;1362
29.06.2004;18.00.00;1441
29.06.2004;19.00.00;1559
29.06.2004;20.00.00;1198
29.06.2004;21.00.00;1246
29.06.2004;22.00.00;1192
29.06.2004;23.00.00;1194
30.06.2004;00.00.00;1252
30.06.2004;01.00.00;777
30.06.2004;02.00.00;798
30.06.2004;03.00.00;800
30.06.2004;04.00.00;728
30.06.2004;05.00.00;953
30.06.2004;06.00.00;1060
30.06.2004;07.00.00;1338
30.06.2004;08.00.00;1622
30.06.2004;09.00.00;1812
30.06.2004;10.00.00;1784
30.06.2004;11.00.00;1509
30.06.2004;12.00.00;1139
30.06.2004;13.00.00;1044
30.06.2004;14.00.00;1015
30.06.2004;15.00.00;825
30.06.2004;16.00.00;1022
30.06.2004;17.00.00;1913
30.06.2004;18.00.00;2043
30.06.2004;19.00.00;1661
30.06.2004;20.00.00;1404
30.06.2004;21.00.00;1233
30.06.2004;22.00.00;1181
30.06.2004;23.00.00;1272
01.07.2004;00.00.00;1190
01.07.2004;01.00.00;982
01.07.2004;02.00.00;805
01.07.2004;03.00.00;654
01.07.2004;04.00.00;727
01.07.2004;05.00.00;1001
01.07.2004;06.00.00;994
01.07.2004;07.00.00;1322
01.07.2004;08.00.00;1617
01.07.2004;09.00.00;1430
01.07.2004;10.00.00;1357
01.07.2004;11.00.00;994
01.07.2004;12.00.00;1054
01.07.2004;13.00.00;945
01.07.2004;14.00.00;808
01.07.2004;15.00.00;888
01.07.2004;16.00.00;787
01.07.2004;17.00.00;1077
01.07.2004;18.00.00;1106
01.07.2004;19.00.00;1356
01.07.2004;20.00.00;1152
01.07.2004;21.00.00;925
01.07.2004;22.00.00;1059
01.07.2004;23.00.00;1201
02.07.2004;00.00.00;1205
02.07.2004;01.00.00;1103
02.07.2004;02.00.00;1072
02.07.2004;03.00.00;713
02.07.2004;04.00.00;737
02.07.2004;05.00.00;740
02.07.2004;06.00.00;770
02.07.2004;07.00.00;1327
02.07.2004;08.00.00;1763
02.07.2004;09.00.00;1477
02.07.2004;10.00.00;1311
02.07.2004;11.00.00;980
02.07.2004;12.00.00;961
02.07.2004;13.00.00;923
02.07.2004;14.00.00;839
02.07.2004;15.00.00;827
02.07.2004;16.00.00;821
02.07.2004;17.00.00;749
02.07.2004;18.00.00;871
02.07.2004;19.00.00;1077
02.07.2004;20.00.00;1175
02.07.2004;21.00.00;1125
02.07.2004;22.00.00;1124
02.07.2004;23.00.00;1064
03.07.2004;00.00.00;1240
03.07.2004;01.00.00;899
03.07.2004;02.00.00;807
03.07.2004;03.00.00;817
03.07.2004;04.00.00;573
03.07.2004;05.00.00;768
03.07.2004;06.00.00;807
03.07.2004;07.00.00;1204
03.07.2004;08.00.00;1401
03.07.2004;09.00.00;1256
03.07.2004;10.00.00;999
03.07.2004;11.00.00;712
03.07.2004;12.00.00;712
03.07.2004;13.00.00;614
03.07.2004;14.00.00;554
03.07.2004;15.00.00;722
03.07.2004;16.00.00;636
03.07.2004;17.00.00;664
03.07.2004;18.00.00;624
03.07.2004;19.00.00;659
03.07.2004;20.00.00;695
